long,lat,group,order,region,subregion,Cases,Incidence_avg,Incidence_alt,PopulationAvg,n_tower,Cent_lon,Cent_lat
-76.6159210205078,42.628059387207,55,1725,new york,tompkins,12,2.33925556672943,2.33775493704621,102662.6,104,-76.4714434453941,42.458080647801
-76.4612121582031,42.628059387207,55,1726,new york,tompkins,12,2.33925556672943,2.33775493704621,102662.6,104,-76.4714434453941,42.458080647801
-76.4554901123047,42.628059387207,55,1727,new york,tompkins,12,2.33925556672943,2.33775493704621,102662.6,104,-76.4714434453941,42.458080647801
-76.2606811523438,42.628059387207,55,1728,new york,tompkins,12,2.33925556672943,2.33775493704621,102662.6,104,-76.4714434453941,42.458080647801
-76.2492294311524,42.4103355407715,55,1729,new york,tompkins,12,2.33925556672943,2.33775493704621,102662.6,104,-76.4714434453941,42.458080647801
-76.2893371582031,42.4103355407715,55,1730,new york,tompkins,12,2.33925556672943,2.33775493704621,102662.6,104,-76.4714434453941,42.458080647801
-76.2893371582031,42.3816909790039,55,1731,new york,tompkins,12,2.33925556672943,2.33775493704621,102662.6,104,-76.4714434453941,42.458080647801
-76.2721405029297,42.3816909790039,55,1732,new york,tompkins,12,2.33925556672943,2.33775493704621,102662.6,104,-76.4714434453941,42.458080647801
-76.2320327758789,42.358772277832,55,1733,new york,tompkins,12,2.33925556672943,2.33775493704621,102662.6,104,-76.4714434453941,42.458080647801
-76.2492294311524,42.2957458496094,55,1734,new york,tompkins,12,2.33925556672943,2.33775493704621,102662.6,104,-76.4714434453941,42.458080647801
-76.2835998535156,42.3014755249023,55,1735,new york,tompkins,12,2.33925556672943,2.33775493704621,102662.6,104,-76.4714434453941,42.458080647801
-76.2835998535156,42.3129348754883,55,1736,new york,tompkins,12,2.33925556672943,2.33775493704621,102662.6,104,-76.4714434453941,42.458080647801
-76.3580856323242,42.3186645507813,55,1737,new york,tompkins,12,2.33925556672943,2.33775493704621,102662.6,104,-76.4714434453941,42.458080647801
-76.3638153076172,42.3186645507813,55,1738,new york,tompkins,12,2.33925556672943,2.33775493704621,102662.6,104,-76.4714434453941,42.458080647801
-76.4153747558594,42.324390411377,55,1739,new york,tompkins,12,2.33925556672943,2.33775493704621,102662.6,104,-76.4714434453941,42.458080647801
-76.4211120605469,42.2670974731445,55,1740,new york,tompkins,12,2.33925556672943,2.33775493704621,102662.6,104,-76.4714434453941,42.458080647801
-76.4669494628906,42.2670974731445,55,1741,new york,tompkins,12,2.33925556672943,2.33775493704621,102662.6,104,-76.4714434453941,42.458080647801
-76.4669494628906,42.2842826843262,55,1742,new york,tompkins,12,2.33925556672943,2.33775493704621,102662.6,104,-76.4714434453941,42.458080647801
-76.5357055664063,42.2842826843262,55,1743,new york,tompkins,12,2.33925556672943,2.33775493704621,102662.6,104,-76.4714434453941,42.458080647801
-76.6159210205078,42.2900161743164,55,1744,new york,tompkins,12,2.33925556672943,2.33775493704621,102662.6,104,-76.4714434453941,42.458080647801
-76.6903991699219,42.2900161743164,55,1745,new york,tompkins,12,2.33925556672943,2.33775493704621,102662.6,104,-76.4714434453941,42.458080647801
-76.6846694946289,42.358772277832,55,1746,new york,tompkins,12,2.33925556672943,2.33775493704621,102662.6,104,-76.4714434453941,42.458080647801
-76.6846694946289,42.3988761901856,55,1747,new york,tompkins,12,2.33925556672943,2.33775493704621,102662.6,104,-76.4714434453941,42.458080647801
-76.6903991699219,42.4160652160645,55,1748,new york,tompkins,12,2.33925556672943,2.33775493704621,102662.6,104,-76.4714434453941,42.458080647801
-76.7018661499024,42.5535736083984,55,1749,new york,tompkins,12,2.33925556672943,2.33775493704621,102662.6,104,-76.4714434453941,42.458080647801
-74.3756484985352,41.591007232666,56,1751,new york,ulster,47,5.25942168143404,5.25824705705981,178766.8,47,-74.2626498723525,41.8905498744119
-74.3871154785156,41.6368446350098,56,1752,new york,ulster,47,5.25942168143404,5.25824705705981,178766.8,47,-74.2626498723525,41.8905498744119
-74.5704574584961,41.7457046508789,56,1753,new york,ulster,47,5.25942168143404,5.25824705705981,178766.8,47,-74.2626498723525,41.8905498744119
-74.4615936279297,41.871753692627,56,1754,new york,ulster,47,5.25942168143404,5.25824705705981,178766.8,47,-74.2626498723525,41.8905498744119
-74.7824478149414,42.0092658996582,56,1755,new york,ulster,47,5.25942168143404,5.25824705705981,178766.8,47,-74.2626498723525,41.8905498744119
-74.5704574584961,42.1181259155274,56,1756,new york,ulster,47,5.25942168143404,5.25824705705981,178766.8,47,-74.2626498723525,41.8905498744119
-74.5303497314453,42.1582374572754,56,1757,new york,ulster,47,5.25942168143404,5.25824705705981,178766.8,47,-74.2626498723525,41.8905498744119
-74.5074310302734,42.1525039672852,56,1758,new york,ulster,47,5.25942168143404,5.25824705705981,178766.8,47,-74.2626498723525,41.8905498744119
-74.4615936279297,42.1696929931641,56,1759,new york,ulster,47,5.25942168143404,5.25824705705981,178766.8,47,-74.2626498723525,41.8905498744119
-74.312629699707,42.1181259155274,56,1760,new york,ulster,47,5.25942168143404,5.25824705705981,178766.8,47,-74.2626498723525,41.8905498744119
-74.0777130126953,42.1009368896484,56,1761,new york,ulster,47,5.25942168143404,5.25824705705981,178766.8,47,-74.2626498723525,41.8905498744119
-74.0376052856445,42.175422668457,56,1762,new york,ulster,47,5.25942168143404,5.25824705705981,178766.8,47,-74.2626498723525,41.8905498744119
-74.0204162597656,42.1696929931641,56,1763,new york,ulster,47,5.25942168143404,5.25824705705981,178766.8,47,-74.2626498723525,41.8905498744119
-74.0146865844727,42.1696929931641,56,1764,new york,ulster,47,5.25942168143404,5.25824705705981,178766.8,47,-74.2626498723525,41.8905498744119
-73.9974975585938,42.175422668457,56,1765,new york,ulster,47,5.25942168143404,5.25824705705981,178766.8,47,-74.2626498723525,41.8905498744119
-73.9172821044922,42.1353187561035,56,1766,new york,ulster,47,5.25942168143404,5.25824705705981,178766.8,47,-74.2626498723525,41.8905498744119
-73.9344787597656,42.0894813537598,56,1767,new york,ulster,47,5.25942168143404,5.25824705705981,178766.8,47,-74.2626498723525,41.8905498744119
-73.9402084350586,42.055103302002,56,1768,new york,ulster,47,5.25942168143404,5.25824705705981,178766.8,47,-74.2626498723525,41.8905498744119
-73.957389831543,41.9863471984863,56,1769,new york,ulster,47,5.25942168143404,5.25824705705981,178766.8,47,-74.2626498723525,41.8905498744119
